站碼,站名,縣市,地址,經度,緯度,起始時間,撤站時間,所屬單位
26°10' 10〞N,119°55' 23〞E,2004/1/1 上午 12:00:00,,氣象局
21°54' 10〞N,120°50' 49〞E,2001/11/1 上午 12:00:00,,氣象局
23°08' 52〞N,120°04' 09〞E,2001/11/1 上午 12:00:00,2016/6/1 上午 12:00:00,氣象局
24°15' 31〞N,120°30' 54〞E,1976/11/1 上午 12:00:00,,氣象局
22°45' 15〞N,121°08' 48〞E,1901/1/1 上午 12:00:00,,氣象局
23°52' 53〞N,120°54' 29〞E,1940/1/1 上午 12:00:00,,氣象局
22°02' 19〞N,121°33' 02〞E,1941/1/1 上午 12:00:00,,氣象局
23°05' 57〞N,121°21' 55〞E,1940/1/1 上午 12:00:00,,氣象局
22°00' 20〞N,120°44' 17〞E,,,氣象局
24°49' 48〞N,121°00' 22〞E,1991/7/1 上午 12:00:00,,氣象局
24°48' 08〞N,120°58' 10〞E,1938/1/1 上午 12:00:00,1991/7/1 上午 12:00:00,氣象局
23°29' 21〞N,120°57' 06〞E,1943/1/1 上午 12:00:00,,氣象局
22°21' 27〞N,120°53' 44〞E,1939/1/1 上午 12:00:00,,氣象局
23°30' 37〞N,120°48' 18〞E,1933/1/1 上午 12:00:00,,氣象局
24°08' 51〞N,120°40' 33〞E,,,氣象局
23°29' 52〞N,120°25' 28〞E,1968/9/1 上午 12:00:00,,氣象局
22°34' 04〞N,120°18' 29〞E,1931/1/1 上午 12:00:00,,氣象局
23°02' 22〞N,120°13' 43〞E,1947/6/1 上午 12:00:00,,氣象局
23°02' 22〞N,120°13' 43〞E,1998/5/1 上午 12:00:00,2002/1/1 上午 12:00:00,氣象局
22°59' 42〞N,120°11' 48〞E,,,氣象局
23°34' 02〞N,119°33' 19〞E,,,氣象局
23°15' 32〞N,119°39' 35〞E,1962/1/1 上午 12:00:00,,氣象局
24°24' 27〞N,118°17' 21〞E,2004/1/1 上午 12:00:00,,氣象局
24°45' 56〞N,121°44' 53〞E,1935/1/1 上午 12:00:00,,氣象局
24°36' 06〞N,121°51' 52〞E,1981/7/1 上午 12:00:00,,氣象局
25°00' 31〞N,121°02' 21〞E,2013/7/1 上午 12:00:00,,氣象局
23°58' 37〞N,121°36' 18〞E,1910/1/1 上午 12:00:00,,氣象局
25°37' 46〞N,122°04' 17〞E,1910/1/1 上午 12:00:00,,氣象局
25°08' 05〞N,121°43' 56〞E,1946/1/1 上午 12:00:00,,氣象局
25°09' 54〞N,121°32' 11〞E,1937/1/1 上午 12:00:00,,氣象局
25°02' 17〞N,121°30' 18〞E,1992/2/1 上午 12:00:00,1997/9/1 上午 12:00:00,氣象局
25°02' 22〞N,121°30' 24〞E,,,氣象局
25°11' 11〞N,121°31' 12〞E,1937/1/1 上午 12:00:00,,氣象局
25°09' 56〞N,121°26' 24〞E,1942/1/1 上午 12:00:00,,氣象局
24°59' 58〞N,121°26' 02〞E,1972/3/1 上午 12:00:00,,氣象局
25°04' 22〞N,121°46' 21〞E,1998/7/1 上午 12:00:00,,氣象局
